label	APCS	HRG	F13B	AZGP1	ITPR1
0	-1.934682518	-1.836373687	0.142920732	-1.850655347	-1.474114507
0	-0.969989236	-2.374934673	0.052952886	-2.382549733	-0.711873502
0	-4.160495162	-2.429665089	0.748264313	-2.088154316	-1.465692788
0	-1.114428923	-1.395674467	1.494803429	-2.201536655	-0.807054877
0	-0.812974751	-2.291510224	-0.108279467	-1.907950938	-0.386211038
0	-2.531931162	-2.560819149	-1.928391218	-2.696475804	-0.8481986
0	-3.533661991	-2.843067646	-1.825372458	-2.664585471	-0.277009308
0	-1.887880445	-2.736061037	-1.645357728	-1.680223703	-0.655938469
0	-2.274206161	-2.853423059	-2.334905416	-2.487182528	-0.320241529
0	-2.56018734	-1.686295152	-1.367106438	-1.722226322	-0.68338865
0	-0.971353672	-1.718875289	-1.190915465	-1.751049884	-0.530190796
0	-0.97446765	-2.074606538	-1.635453939	-1.761043191	-0.648563281
0	-2.713476896	-0.878819942	-0.529254675	-1.226280332	-0.740211904
0	-0.975771613	-1.527446032	-0.807645082	-1.481654108	-1.007986516
0	-1.748890989	-1.341890454	-1.109316826	-1.293587126	-1.543338716
0	-1.969823897	-1.879820585	-0.274479151	-2.81638369	-1.159816504
0	-1.385017514	-1.71029973	0.648309112	-2.071901619	-1.128259242
0	-1.956211567	-1.770881414	1.008154035	-1.926699877	-0.769007325
0	-3.05658567	-2.211504936	0.130938411	-2.274340544	-1.099326104
0	-2.828696489	-2.226226449	0.057047606	-2.036722213	-1.208769131
0	-2.906325936	-2.644862413	0.063588142	-2.104674697	-0.47037375
0	-1.64554479	-2.975320637	0.596917748	-2.34294045	-0.304001868
0	-2.744342625	-1.372280717	1.252727032	-1.721562386	-0.294070125
1	-1.354829133	-0.887250423	-0.341192842	-0.686972976	-0.094067812
0	-1.530686535	-2.239008904	0.530697703	-2.467733622	-0.056139946
0	-2.60900557	-1.740237355	-1.440964282	-2.392662644	-1.18161571
0	-2.472660162	-3.099900901	-1.809153736	-3.349179566	-0.202522635
0	-1.444521427	-2.233620167	-1.187408209	-2.630525947	-0.502123117
0	-3.811034918	-2.174916267	-1.307453632	-2.296816349	-0.794576585
0	-3.630201936	-3.081186175	-2.037727207	-2.820921391	-0.49779759
0	-2.445411801	-2.912047744	-0.006102085	-2.554810733	-0.704152435
1	-1.568340063	-1.303598046	0.209262967	-1.199860454	-0.190565288
0	-1.399629354	-2.433685303	0.122801065	-2.001483977	-0.613474295
0	-2.544024944	-2.432117939	0.968328476	-1.049542546	-1.055726379
1	-1.930819511	-1.324121237	-0.265342474	-0.881326556	-0.502784684
0	-4.405206397	-2.594243526	-1.756077498	-1.504538655	-1.428299606
0	-1.978170156	-1.065996885	-1.158644795	-1.148478866	-0.781747371
0	-3.468651533	-1.872382164	-1.419772863	-2.396965384	0.466267914
0	-2.142785192	-1.984162807	-1.925219178	-1.909497321	-1.285422564
0	-2.869216025	-2.247975945	-2.241695046	-1.689373851	-0.795085639
0	0.786953449	-0.697286367	0.042801142	-1.680479407	-0.903880984
0	0.536127448	-1.490657687	-0.630816579	-2.082008302	-0.537033528
0	0.64017427	-2.108792126	0.191466808	-1.371989965	-1.08991421
0	0.345404387	-2.476679564	1.793997645	-2.562763155	-0.030364633
0	-2.339780163	-2.142206311	-1.943846405	-2.527023077	-1.143063068
0	-1.589364648	-1.524309874	-1.094588876	-1.86213851	-1.083706349
0	-2.949599206	-1.82475853	-1.884200573	-1.862314463	-0.675011128
0	-3.39176267	-2.695481896	-2.077628434	-2.2885499	-0.661413491
0	-2.82851636	-1.694329619	-1.836556047	-1.690304518	-0.770814121
0	-1.78495726	-2.201996088	-0.04723525	-2.436478734	-0.298463881
1	-1.688141346	-0.94884038	-0.471604824	-1.196345568	-0.335058838
0	-3.58188647	-1.574148655	0.637729406	-1.875241339	-0.944576383
0	-1.804688394	-1.663352489	0.096153021	-1.123218536	-0.425109863
0	-1.513320476	-1.085902214	0.081118822	-1.082490683	-0.516022474
0	-2.22407937	-1.572363734	0.276377916	-1.326806366	-0.747994855
0	-2.438047409	-2.896116018	0.712746382	-2.209055245	-1.166557431
0	-2.25372088	-1.819107234	0.4425565	-1.565776289	-1.119172812
0	-1.485996723	-1.971675456	1.109200239	-1.334121168	-0.613849074
0	-4.389637947	-1.44006443	0.169125557	-1.591767967	-0.989998892
0	-1.511213332	-1.695837021	-1.336413741	-2.145091534	-0.678728759
0	-2.372789063	-1.915532231	-1.721257329	-1.927328825	-0.642540351
0	-2.637597777	-0.920226216	-1.260863423	-1.450344086	-1.221982241
0	-1.912934124	-0.773975492	-1.00266099	-0.632802725	-1.196816027
0	-2.449278057	-2.402206302	-2.056339622	-2.519073129	-0.526300415
0	-2.215099797	-1.990373731	-2.829552069	-1.364289284	-0.588050142
0	-2.680182397	-1.176804781	-0.366348028	-1.264970183	-0.959033117
0	-1.921820402	-2.405469239	-2.564047277	-1.6898579	-0.723128915
0	-2.185546707	-1.953942895	-1.239310801	-1.306394577	-0.712774456
0	-2.229225278	-1.804907084	-1.555484667	-2.266961634	0.264706314
0	1.315960765	-2.246113539	0.812739372	-1.996384323	-0.688921809
1	0.148347974	-0.475174427	-0.063225269	-1.06720376	0.062256515
1	0.531454206	-0.811976194	-0.304311872	-0.553903341	-0.177610233
1	1.224812388	-1.347725272	-0.11455369	-1.648192286	-0.292045474
1	-0.239579558	-1.232084394	-0.006869912	-1.389405608	-0.197716117
1	-2.122826338	-1.153985977	-1.130394697	-1.493532181	-0.994394541
0	-2.885257721	-1.761364698	-1.304473639	-1.378785014	-0.425802767
0	-3.729892373	-1.901434541	-0.617419481	-1.03252697	-0.696669951
1	-2.398722768	-1.263884902	-1.554279089	-1.362497568	-0.362444937
0	-2.143796563	-1.46334362	-1.434223771	-2.894394994	-0.881892368
0	-2.150604486	-2.810163498	-4.431979224	-1.693486214	-0.808988437
0	-2.162849963	-1.786641598	-2.286308065	-0.859095752	-0.465779796
1	0.166057587	-0.35780859	-0.966168106	-0.554325581	-0.194844097
1	-0.901933074	-0.299732447	-0.398610234	-0.522836804	-0.123457253
1	-1.205224037	-1.28472352	-0.943047523	-0.607369542	-0.269221798
1	-0.090317726	-0.397003651	-0.316563725	-0.265616655	0.011292458
0	-3.398659945	-1.99922657	-1.674589694	-2.042660236	0.089393064
0	-1.297469378	-2.413687825	-0.953456521	-1.302526489	-0.792937934
1	-0.315261841	0.423592091	-0.078745604	-0.77522862	-1.085261762
0	-1.928736329	-1.876728535	-1.813918591	-1.729830235	-0.441541597
1	-2.16136688	-1.349439383	0.407008886	-0.997874975	-0.54606083
1	-0.857210413	-1.533728361	-0.184722424	-1.069360256	0.13393186
1	-1.627383232	-1.59300971	0.110620618	-1.315433621	-0.297933102
1	-3.085519552	-1.858474493	0.547423601	-1.189757466	-0.155209303
0	-2.418843076	-1.491360426	-2.474269032	0.047196627	-0.691960812
0	-0.800494276	-1.356950164	-0.8129493	-0.7951653	-0.915413678
1	-0.069789469	-0.71974206	-0.344367266	-0.386208415	-1.212003306
0	-0.877957374	0.472485781	-0.439830303	0.133461714	-1.52160947
0	-0.044391409	-2.228418052	-1.798306257	-2.318905473	-0.397858903
1	-0.421877861	-1.138431072	0.082039237	-0.775402784	-0.594472826
1	-0.476600647	-1.099915028	-0.456122994	-1.158797383	-0.353813589
0	-1.476389647	-1.40269351	0.54722929	-1.307244837	-1.175584197
0	-1.061309576	-1.851968169	0.376255155	-1.896371961	-1.055651158
0	-1.817425698	-1.518206477	0.791013241	-1.782352686	-0.859856784
0	-1.620436728	-1.652136326	0.209384203	-1.00106883	-0.877431333
1	-0.181054473	-0.140156984	0.497496128	-0.377658606	-0.092862427
0	-2.701069552	-2.018072128	0.027195573	-2.010496616	-0.496478707
0	-2.461775303	-1.744236827	0.330651999	-1.826889634	0.133258037
0	-0.073476434	-1.667629957	-0.718210042	-1.93844533	-0.131032288
0	-0.542537451	-1.980053186	-1.570410773	-2.103651673	-0.499693416
1	0.91258353	-0.812828004	0.28622523	-0.703261614	0.162467629
0	-0.660450757	-2.120310843	-0.596251756	-2.07904762	-0.793267801
0	-2.913461387	-1.795357406	-1.110087574	-1.071565866	-1.284467936
